"","CH_NORM_REAL","LST_NORM","NDMI_NORM","NDVI_NORM","JARAK_JALAN_NORM","LULC1.TA","TWI_LOG","SLOPE_LOG","TVI_LOG","Hotspot"
"1",0.520992398262024,0.391585350036621,0.770671963691711,0.927943289279938,0.130594372749329,"2",-0.903014838695526,-0.652855038642883,-2.48374605178833,"2"
"3",0.392428457736969,0.346472293138504,0.767245650291443,0.802891552448273,0.369486331939697,"2",-0.858629167079926,-0.307398319244385,-1.83921051025391,"2"
"6",0.571463942527771,0.259053945541382,0.705396354198456,0.872562289237976,0.23967432975769,"2",-1.05337011814117,-0.314430415630341,-2.07697343826294,"2"
"7",0.543638229370117,0.298678249120712,0.747757613658905,0.893542945384979,0.066450260579586,"2",-0.625787019729614,-0.492853999137878,-2.23612451553345,"2"
"9",0.511748790740967,0.333292335271835,0.696106314659119,0.867110729217529,0.133660390973091,"2",-0.534157276153564,-0.852646052837372,-2.16596555709839,"2"
"10",0.808473587036133,0.172522649168968,0.727010250091553,0.871736884117126,0.187193810939789,"2",-0.661831557750702,-0.433383882045746,-2.31455516815186,"2"
"12",0.756281495094299,0.295900374650955,0.784534335136414,0.919452667236328,0.0763773620128632,"2",-0.927604615688324,-0.595685958862305,-2.38242292404175,"2"
"13",0.782745063304901,0.230870500206947,0.727134108543396,0.891402781009674,0.194308295845985,"2",-0.61036205291748,-0.688348412513733,-2.20189452171326,"2"
"14",0.736076474189758,0.341714292764664,0.797145128250122,0.932305157184601,0.0190943405032158,"2",-0.758840560913086,-0.355044066905975,-2.80281567573547,"2"
"15",0.739110052585602,0.343550175428391,0.784007966518402,0.939446687698364,0.0270034745335579,"2",-0.77230978012085,-0.3083715736866,-2.82243609428406,"2"
"17",0.703440368175507,0.307462364435196,0.769952058792114,0.939326345920563,0.257911056280136,"2",-0.547958076000214,-0.507406651973724,-2.62996459007263,"2"
"18",0.69458281993866,0.32500034570694,0.75542426109314,0.90039849281311,0.0837156102061272,"2",-0.786833047866821,-0.349174112081528,-2.23042368888855,"2"
"19",0.63251006603241,0.356705278158188,0.775880217552185,0.929419338703156,0.149131566286087,"2",-0.819566369056702,-0.347752630710602,-2.33540511131287,"2"
"22",0.645244479179382,0.219152793288231,0.742818653583527,0.905532240867615,0.279181063175201,"2",-0.5036700963974,-0.568311274051666,-2.28447532653809,"2"
"23",0.643098115921021,0.162896931171417,0.665448546409607,0.856591999530792,0.301840931177139,"2",-0.869962811470032,-0.698437094688416,-2.02497982978821,"2"
"25",0.630176723003387,0.330221056938171,0.730234444141388,0.89928662776947,0.461830496788025,"2",-0.679211914539337,-0.244234383106232,-2.25925588607788,"2"
"27",0.572390258312225,0.411301851272583,0.671006143093109,0.886059880256653,0.704452097415924,"2",-0.447656452655792,-0.540909945964813,-2.26107788085938,"2"
"28",0.540846168994904,0.401753067970276,0.737424433231354,0.93153840303421,0.644070506095886,"2",-0.894827306270599,-0.332798689603806,-2.53241348266602,"2"
"29",0.49571293592453,0.37501984834671,0.670167624950409,0.811342597007751,0.497146010398865,"2",-0.68074369430542,-0.378824055194855,-1.86691868305206,"2"
"30",0.463770151138306,0.388708829879761,0.6847283244133,0.842592060565948,0.373575210571289,"2",-1.07245886325836,-0.578793525695801,-2.02503180503845,"2"
"33",0.327303528785706,0.435322761535645,0.75543224811554,0.892694473266602,0.0829865783452988,"2",-0.969926595687866,-0.365529268980026,-2.69295740127563,"2"
"35",0.333585858345032,0.43818598985672,0.845902800559998,0.888473927974701,0.100636012852192,"2",-1.15339934825897,-0.513881385326385,-2.12547612190247,"2"
